TICKET ID ; IV ; OV ; FV ; AV 
ACCUMULO-539;3;3;3;[]
ACCUMULO-541;3;3;3;[]
ACCUMULO-542;3;3;3;[]
ACCUMULO-553;3;3;3;[]
ACCUMULO-555;3;3;3;[]
ACCUMULO-559;3;3;3;[]
ACCUMULO-561;3;3;3;[]
ACCUMULO-562;3;3;3;[]
ACCUMULO-565;0;3;3;[null]
ACCUMULO-566;3;3;3;[]
ACCUMULO-567;3;3;3;[]
ACCUMULO-568;0;3;3;[null]
ACCUMULO-570;3;3;3;[]
ACCUMULO-585;3;3;3;[]
ACCUMULO-589;0;3;3;[null]
ACCUMULO-590;0;3;3;[null]
ACCUMULO-591;3;3;3;[]
ACCUMULO-596;3;3;3;[]
ACCUMULO-597;2;3;7;[2, 3, 4, 5, 6]
ACCUMULO-601;3;3;3;[]
ACCUMULO-605;0;3;3;[null]
ACCUMULO-606;0;3;3;[null]
ACCUMULO-615;0;3;3;[null]
ACCUMULO-616;3;3;3;[]
ACCUMULO-619;0;3;3;[null]
ACCUMULO-623;0;3;5;[null]
ACCUMULO-628;3;3;3;[]
ACCUMULO-629;0;3;5;[null]
ACCUMULO-630;0;3;5;[null]
ACCUMULO-631;0;3;5;[null]
ACCUMULO-633;3;3;3;[]
ACCUMULO-634;3;3;3;[]
ACCUMULO-635;0;3;6;[null]
ACCUMULO-636;0;3;6;[null]
ACCUMULO-639;0;3;3;[null]
ACCUMULO-641;2;3;6;[2, 3, 4, 5]
ACCUMULO-642;3;3;5;[3, 4]
ACCUMULO-643;3;3;3;[]
ACCUMULO-644;2;3;5;[2, 3, 4]
ACCUMULO-645;2;3;9;[2, 3, 4, 5, 6, 7, 8]
ACCUMULO-646;0;3;3;[null]
ACCUMULO-649;0;3;3;[null]
ACCUMULO-654;2;3;5;[2, 3, 4]
ACCUMULO-659;3;3;3;[]
ACCUMULO-660;3;3;3;[]
ACCUMULO-661;3;3;3;[]
ACCUMULO-665;2;3;5;[2, 3, 4]
ACCUMULO-668;0;4;4;[null]
ACCUMULO-669;0;4;4;[null]
ACCUMULO-672;0;4;5;[null]
ACCUMULO-675;5;5;5;[]
ACCUMULO-676;5;5;5;[]
ACCUMULO-678;5;5;5;[]
ACCUMULO-679;0;5;5;[null]
ACCUMULO-681;0;5;5;[null]
ACCUMULO-682;5;5;5;[]
ACCUMULO-683;5;5;5;[]
ACCUMULO-684;0;5;9;[null]
ACCUMULO-685;5;5;5;[]
ACCUMULO-686;0;5;5;[null]
ACCUMULO-688;0;5;6;[null]
ACCUMULO-689;0;5;6;[null]
ACCUMULO-691;0;5;5;[null]
ACCUMULO-702;0;5;5;[null]
ACCUMULO-709;0;5;6;[null]
ACCUMULO-727;3;5;6;[3, 4, 5]
ACCUMULO-733;0;5;6;[null]
ACCUMULO-737;0;5;5;[null]
ACCUMULO-738;0;5;5;[null]
ACCUMULO-740;0;5;5;[null]
ACCUMULO-754;5;5;5;[]
ACCUMULO-757;5;5;5;[]
ACCUMULO-758;0;5;5;[null]
ACCUMULO-766;5;5;5;[]
ACCUMULO-768;5;5;5;[]
ACCUMULO-769;2;5;9;[2, 3, 4, 5, 6, 7, 8]
ACCUMULO-770;5;5;5;[]
ACCUMULO-774;0;5;5;[null]
ACCUMULO-776;3;5;6;[3, 4, 5]
ACCUMULO-777;5;5;5;[]
ACCUMULO-778;0;5;6;[null]
ACCUMULO-779;5;5;5;[]
ACCUMULO-781;0;5;5;[null]
ACCUMULO-782;5;5;5;[]
ACCUMULO-784;5;5;5;[]
ACCUMULO-785;0;5;6;[null]
ACCUMULO-787;3;5;6;[3, 4, 5]
ACCUMULO-788;3;5;6;[3, 4, 5]
ACCUMULO-789;2;5;6;[2, 3, 4, 5]
ACCUMULO-794;5;5;5;[]
ACCUMULO-795;5;5;5;[]
ACCUMULO-797;4;5;6;[4, 5]
ACCUMULO-798;5;5;5;[]
ACCUMULO-800;5;5;5;[]
ACCUMULO-801;5;5;5;[]
ACCUMULO-805;0;5;5;[null]
ACCUMULO-806;5;5;5;[]
ACCUMULO-815;0;5;5;[null]
ACCUMULO-821;5;5;5;[]
ACCUMULO-822;0;5;5;[null]
ACCUMULO-823;0;5;5;[null]
ACCUMULO-826;5;5;5;[]
ACCUMULO-827;5;5;5;[]
ACCUMULO-829;2;5;7;[2, 3, 4, 5, 6]
ACCUMULO-832;2;5;6;[2, 3, 4, 5]
ACCUMULO-834;3;5;6;[3, 4, 5]
ACCUMULO-843;0;5;6;[null]
ACCUMULO-844;2;5;6;[2, 3, 4, 5]
ACCUMULO-845;0;5;6;[null]
ACCUMULO-846;0;5;6;[null]
ACCUMULO-847;0;5;7;[null]
ACCUMULO-848;3;5;6;[3, 4, 5]
ACCUMULO-852;0;5;6;[null]
ACCUMULO-854;0;5;6;[null]
ACCUMULO-856;0;6;6;[null]
ACCUMULO-857;0;6;6;[null]
ACCUMULO-858;6;6;6;[]
ACCUMULO-859;6;6;6;[]
ACCUMULO-860;6;6;6;[]
ACCUMULO-861;6;6;6;[]
ACCUMULO-872;6;6;6;[]
ACCUMULO-873;6;6;6;[]
ACCUMULO-876;0;6;6;[null]
ACCUMULO-881;0;6;6;[null]
ACCUMULO-888;6;6;6;[]
ACCUMULO-889;6;6;6;[]
ACCUMULO-892;6;6;6;[]
ACCUMULO-897;6;6;6;[]
ACCUMULO-903;0;6;6;[null]
ACCUMULO-906;6;6;6;[]
ACCUMULO-907;6;6;6;[]
ACCUMULO-908;0;6;6;[null]
ACCUMULO-912;6;6;6;[]
ACCUMULO-914;6;6;6;[]
ACCUMULO-915;6;6;6;[]
ACCUMULO-919;0;6;6;[null]
ACCUMULO-921;6;6;6;[]
ACCUMULO-926;0;6;6;[null]
ACCUMULO-928;6;6;6;[]
ACCUMULO-929;6;6;6;[]
ACCUMULO-940;0;6;6;[null]
ACCUMULO-944;6;6;6;[]
ACCUMULO-945;0;6;6;[null]
ACCUMULO-950;0;6;6;[null]
ACCUMULO-954;6;6;6;[]
ACCUMULO-965;6;6;6;[]
ACCUMULO-968;6;6;6;[]
ACCUMULO-974;5;6;7;[5, 6]
ACCUMULO-976;6;6;6;[]
ACCUMULO-977;6;6;6;[]
ACCUMULO-982;6;6;6;[]
ACCUMULO-986;0;6;6;[null]
ACCUMULO-994;0;6;6;[null]
ACCUMULO-995;0;6;6;[null]
ACCUMULO-1005;0;6;7;[null]
ACCUMULO-1010;0;6;12;[null]
ACCUMULO-1018;6;6;6;[]
ACCUMULO-1023;0;6;6;[null]
ACCUMULO-1032;0;6;6;[null]
ACCUMULO-1033;0;6;6;[null]
ACCUMULO-1034;0;6;6;[null]
ACCUMULO-1035;6;6;6;[]
ACCUMULO-1036;0;6;6;[null]
ACCUMULO-1037;0;6;6;[null]
ACCUMULO-1038;6;6;6;[]
ACCUMULO-1039;5;6;7;[5, 6]
ACCUMULO-1040;5;6;7;[5, 6]
ACCUMULO-1042;0;6;9;[null]
ACCUMULO-1044;5;6;8;[5, 6, 7]
ACCUMULO-1046;6;6;6;[]
ACCUMULO-1048;0;6;7;[null]
ACCUMULO-1051;0;6;6;[null]
ACCUMULO-1053;0;6;6;[null]
ACCUMULO-1054;0;6;6;[null]
ACCUMULO-1056;6;6;6;[]
ACCUMULO-1057;0;6;6;[null]
ACCUMULO-1059;6;6;7;[6]
ACCUMULO-1060;0;6;6;[null]
ACCUMULO-1062;5;6;7;[5, 6]
ACCUMULO-1063;0;6;7;[null]
ACCUMULO-1064;0;6;6;[null]
ACCUMULO-1071;2;6;7;[2, 3, 4, 5, 6]
ACCUMULO-1077;0;6;6;[null]
ACCUMULO-1081;6;6;6;[]
ACCUMULO-1086;0;6;6;[null]
ACCUMULO-1088;6;6;6;[]
ACCUMULO-1104;0;6;6;[null]
ACCUMULO-1105;0;6;6;[null]
ACCUMULO-1107;5;6;7;[5, 6]
ACCUMULO-1110;0;6;6;[null]
ACCUMULO-1111;0;6;6;[null]
ACCUMULO-1112;0;6;6;[null]
ACCUMULO-1114;0;6;6;[null]
ACCUMULO-1115;0;6;6;[null]
ACCUMULO-1117;0;6;6;[null]
ACCUMULO-1118;0;6;7;[null]
ACCUMULO-1120;0;6;6;[null]
ACCUMULO-1123;0;6;9;[null]
ACCUMULO-1125;6;6;6;[]
ACCUMULO-1126;0;6;6;[null]
ACCUMULO-1137;0;6;6;[null]
ACCUMULO-1138;0;6;6;[null]
ACCUMULO-1140;0;6;6;[null]
ACCUMULO-1141;0;6;6;[null]
ACCUMULO-1144;2;6;7;[2, 3, 4, 5, 6]
ACCUMULO-1147;0;6;6;[null]
ACCUMULO-1149;0;6;6;[null]
ACCUMULO-1151;0;6;6;[null]
ACCUMULO-1153;0;6;7;[null]
ACCUMULO-1154;0;6;6;[null]
ACCUMULO-1161;0;6;7;[null]
ACCUMULO-1162;0;6;10;[null]
ACCUMULO-1163;0;6;6;[null]
ACCUMULO-1164;0;6;6;[null]
ACCUMULO-1171;6;6;6;[]
ACCUMULO-1172;6;6;6;[]
ACCUMULO-1173;6;6;6;[]
ACCUMULO-1178;6;6;7;[6]
ACCUMULO-1180;0;6;7;[null]
ACCUMULO-1183;0;7;7;[null]
ACCUMULO-1184;0;7;7;[null]
ACCUMULO-1189;0;7;7;[null]
ACCUMULO-1190;0;7;7;[null]
ACCUMULO-1191;0;7;7;[null]
ACCUMULO-1192;7;7;7;[]
ACCUMULO-1193;0;7;7;[null]
ACCUMULO-1199;0;7;7;[null]
ACCUMULO-1204;0;7;7;[null]
