TICKET ID ; IV ; OV ; FV ; AV 
STORM-1017;0;7;7;[null]
STORM-1024;0;7;7;[null]
STORM-1026;7;7;7;[]
STORM-1027;7;7;7;[]
STORM-1030;0;7;8;[null]
STORM-1042;0;7;7;[null]
STORM-1044;0;7;7;[null]
STORM-1050;7;7;7;[]
STORM-1051;7;7;7;[]
STORM-1054;0;7;8;[null]
STORM-1063;7;7;7;[]
STORM-1069;0;7;7;[null]
STORM-1073;0;7;7;[null]
STORM-1078;7;7;7;[]
STORM-1087;0;7;7;[null]
STORM-1090;7;7;7;[]
STORM-1094;7;7;7;[]
STORM-1096;0;7;7;[null]
STORM-1099;0;7;7;[null]
STORM-1103;7;7;7;[]
STORM-1104;7;7;7;[]
STORM-1106;0;7;7;[null]
STORM-1110;0;7;7;[null]
STORM-1111;0;7;7;[null]
STORM-1115;7;7;7;[]
STORM-1117;0;7;7;[null]
STORM-1120;7;7;7;[]
STORM-1121;0;7;8;[null]
STORM-1134;0;7;8;[null]
STORM-1142;7;7;7;[]
STORM-1147;0;7;7;[null]
STORM-1150;0;7;8;[null]
STORM-1160;0;7;8;[null]
STORM-1161;0;7;8;[null]
STORM-1163;0;7;8;[null]
STORM-1168;1;7;8;[1, 2, 3, 4, 5, 6, 7]
STORM-1170;0;7;8;[null]
STORM-1179;8;8;8;[]
STORM-1180;0;8;8;[null]
STORM-1185;8;8;8;[]
STORM-1189;0;8;8;[null]
STORM-1190;8;8;8;[]
STORM-1191;0;8;8;[null]
STORM-1203;0;8;8;[null]
STORM-1204;0;8;8;[null]
STORM-1208;8;8;8;[]
STORM-1213;8;8;8;[]
STORM-1217;0;8;8;[null]
STORM-1218;0;8;8;[null]
STORM-1219;0;8;8;[null]
STORM-1220;0;8;8;[null]
STORM-1221;0;8;8;[null]
STORM-1344;8;8;12;[8, 9, 10, 11]
STORM-1348;0;8;8;[null]
STORM-1349;0;8;8;[null]
STORM-1359;0;8;8;[null]
STORM-1361;0;8;8;[null]
STORM-1370;0;8;8;[null]
STORM-1375;8;8;8;[]
STORM-1376;8;8;8;[]
STORM-1377;8;8;8;[]
STORM-1378;0;8;8;[null]
STORM-1385;0;8;8;[null]
STORM-1388;0;8;8;[null]
STORM-1395;8;8;8;[]
STORM-1396;0;8;8;[null]
STORM-1397;0;8;8;[null]
STORM-1398;8;8;8;[]
STORM-1399;8;8;8;[]
STORM-1400;0;8;8;[null]
STORM-1402;8;8;8;[]
STORM-1405;0;8;8;[null]
STORM-1407;8;8;8;[]
STORM-1408;0;8;8;[null]
STORM-1409;0;8;8;[null]
STORM-1411;0;8;8;[null]
STORM-1412;0;8;8;[null]
STORM-1413;0;8;8;[null]
STORM-1417;0;8;8;[null]
STORM-1418;0;8;8;[null]
STORM-1419;0;8;8;[null]
STORM-1422;0;8;8;[null]
STORM-1423;8;8;8;[]
STORM-1424;8;8;8;[]
STORM-1425;0;8;8;[null]
STORM-1426;8;8;8;[]
STORM-1427;8;8;8;[]
STORM-1432;0;8;8;[null]
STORM-1449;0;8;8;[null]
STORM-1452;8;8;8;[]
STORM-1453;8;8;8;[]
STORM-1455;8;8;8;[]
STORM-1457;0;8;8;[null]
STORM-1458;0;8;8;[null]
STORM-1463;0;8;8;[null]
STORM-1466;0;8;8;[null]
STORM-1467;0;8;8;[null]
STORM-1468;0;8;8;[null]
STORM-1470;8;8;8;[]
STORM-1472;8;8;8;[]
STORM-1476;8;8;8;[]
STORM-1478;0;8;8;[null]
STORM-1481;0;8;8;[null]
STORM-1482;0;8;8;[null]
STORM-1484;0;8;8;[null]
STORM-1485;0;8;8;[null]
STORM-1486;0;8;8;[null]
STORM-1488;8;8;8;[]
STORM-1493;0;8;8;[null]
STORM-1496;8;8;8;[]
STORM-1499;0;8;8;[null]
STORM-1503;8;8;8;[]
STORM-1504;0;8;8;[null]
STORM-1510;0;8;8;[null]
STORM-1517;0;8;8;[null]
STORM-1518;0;8;8;[null]
STORM-1519;0;8;8;[null]
STORM-1520;8;8;8;[]
STORM-1521;8;8;8;[]
STORM-1522;0;8;8;[null]
STORM-1526;0;8;8;[null]
STORM-1527;0;8;8;[null]
STORM-1528;0;8;8;[null]
STORM-1530;0;8;8;[null]
STORM-1531;0;8;8;[null]
STORM-1532;0;8;8;[null]
STORM-1533;0;8;8;[null]
STORM-1534;8;8;8;[]
STORM-1535;6;8;9;[6, 7, 8]
STORM-1538;0;8;8;[null]
STORM-1540;8;8;8;[]
STORM-1541;8;8;8;[]
STORM-1542;8;8;8;[]
STORM-1543;8;8;8;[]
STORM-1544;8;8;9;[8]
STORM-1545;8;8;8;[]
STORM-1552;8;8;8;[]
STORM-1556;8;8;8;[]
