TICKET ID ; IV ; OV ; FV ; AV 
SYNCOPE-292;7;7;7;[]
SYNCOPE-294;7;7;7;[]
SYNCOPE-297;0;7;7;[null]
SYNCOPE-301;7;7;7;[]
SYNCOPE-302;7;7;7;[]
SYNCOPE-306;0;7;7;[null]
SYNCOPE-307;7;7;7;[]
SYNCOPE-308;7;7;7;[]
SYNCOPE-309;7;7;7;[]
SYNCOPE-310;6;7;8;[6, 7]
SYNCOPE-312;0;7;7;[null]
SYNCOPE-314;7;7;7;[]
SYNCOPE-315;7;7;7;[]
SYNCOPE-316;7;7;7;[]
SYNCOPE-317;7;7;7;[]
SYNCOPE-318;0;7;8;[null]
SYNCOPE-320;7;7;7;[]
SYNCOPE-321;7;7;7;[]
SYNCOPE-322;0;7;7;[null]
SYNCOPE-323;7;7;7;[]
SYNCOPE-325;7;7;7;[]
SYNCOPE-327;8;8;8;[]
SYNCOPE-328;0;8;8;[null]
SYNCOPE-329;0;8;8;[null]
SYNCOPE-330;8;8;8;[]
SYNCOPE-332;8;8;8;[]
SYNCOPE-334;8;8;8;[]
SYNCOPE-336;0;8;11;[null]
SYNCOPE-338;8;8;8;[]
SYNCOPE-339;8;8;8;[]
SYNCOPE-341;8;8;8;[]
SYNCOPE-342;8;8;8;[]
SYNCOPE-343;8;8;8;[]
SYNCOPE-349;8;9;16;[8, 9, 10, 11, 12, 13, 14, 15]
SYNCOPE-351;10;10;10;[]
SYNCOPE-352;10;10;10;[]
SYNCOPE-353;10;10;10;[]
SYNCOPE-354;9;10;11;[9, 10]
SYNCOPE-356;10;10;10;[]
SYNCOPE-357;9;10;11;[9, 10]
SYNCOPE-358;10;10;10;[]
SYNCOPE-360;11;11;11;[]
SYNCOPE-361;11;11;11;[]
SYNCOPE-363;11;11;11;[]
SYNCOPE-364;11;11;11;[]
SYNCOPE-365;11;11;11;[]
SYNCOPE-368;12;12;12;[]
SYNCOPE-369;12;12;12;[]
SYNCOPE-370;11;12;13;[11, 12]
SYNCOPE-371;12;12;12;[]
SYNCOPE-372;12;12;12;[]
SYNCOPE-373;12;12;12;[]
SYNCOPE-375;12;12;12;[]
SYNCOPE-376;12;12;12;[]
SYNCOPE-381;12;12;12;[]
SYNCOPE-383;12;12;12;[]
SYNCOPE-384;12;12;12;[]
SYNCOPE-385;12;12;12;[]
SYNCOPE-386;12;12;12;[]
SYNCOPE-387;12;12;12;[]
SYNCOPE-394;13;13;13;[]
SYNCOPE-396;13;13;13;[]
SYNCOPE-397;13;13;13;[]
SYNCOPE-398;13;13;13;[]
SYNCOPE-399;13;13;13;[]
SYNCOPE-400;13;13;13;[]
SYNCOPE-404;14;14;14;[]
SYNCOPE-412;14;14;14;[]
SYNCOPE-414;14;14;14;[]
SYNCOPE-417;14;14;14;[]
SYNCOPE-418;14;14;14;[]
SYNCOPE-419;15;15;15;[]
SYNCOPE-423;15;15;15;[]
SYNCOPE-426;15;15;15;[]
SYNCOPE-433;15;15;15;[]
SYNCOPE-434;15;15;15;[]
SYNCOPE-435;15;15;15;[]
SYNCOPE-436;15;15;15;[]
SYNCOPE-437;15;15;15;[]
SYNCOPE-440;15;15;15;[]
SYNCOPE-452;16;16;16;[]
SYNCOPE-453;16;16;16;[]
SYNCOPE-454;16;16;16;[]
SYNCOPE-455;16;16;16;[]
SYNCOPE-456;16;16;16;[]
SYNCOPE-457;16;16;16;[]
SYNCOPE-458;15;16;18;[15, 16, 17]
SYNCOPE-459;14;16;18;[14, 15, 16, 17]
SYNCOPE-462;16;16;16;[]
SYNCOPE-465;16;16;16;[]
SYNCOPE-466;16;16;16;[]
SYNCOPE-474;16;16;16;[]
SYNCOPE-475;16;16;16;[]
SYNCOPE-476;16;16;16;[]
SYNCOPE-477;16;16;16;[]
SYNCOPE-482;17;17;17;[]
SYNCOPE-483;1;17;18;[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]
SYNCOPE-484;17;17;17;[]
SYNCOPE-489;18;18;18;[]
SYNCOPE-490;18;18;18;[]
SYNCOPE-495;18;18;18;[]
SYNCOPE-497;0;18;18;[null]
SYNCOPE-498;0;18;18;[null]
SYNCOPE-499;18;18;18;[]
SYNCOPE-500;18;18;18;[]
SYNCOPE-501;18;18;18;[]
