TICKET ID ; IV ; OV ; FV ; AV 
OPENJPA-537;7;7;7;[]
OPENJPA-539;7;7;7;[]
OPENJPA-540;7;7;7;[]
OPENJPA-542;7;7;7;[]
OPENJPA-543;7;7;7;[]
OPENJPA-547;0;7;7;[null]
OPENJPA-550;6;7;9;[6, 7, 8]
OPENJPA-552;7;7;7;[]
OPENJPA-554;7;7;7;[]
OPENJPA-557;6;7;10;[6, 7, 8, 9]
OPENJPA-559;7;7;7;[]
OPENJPA-562;7;7;10;[7, 8, 9]
OPENJPA-565;7;7;7;[]
OPENJPA-567;7;7;7;[]
OPENJPA-573;6;7;12;[6, 7, 8, 9, 10, 11]
OPENJPA-574;7;7;8;[7]
OPENJPA-576;0;7;7;[null]
OPENJPA-577;7;7;7;[]
OPENJPA-579;7;7;8;[7]
OPENJPA-580;0;7;10;[null]
OPENJPA-581;1;7;8;[1, 2, 3, 4, 5, 6, 7]
OPENJPA-585;7;7;8;[7]
OPENJPA-587;7;7;8;[7]
OPENJPA-588;0;7;8;[null]
OPENJPA-590;0;7;7;[null]
OPENJPA-594;5;7;13;[5, 6, 7, 8, 9, 10, 11, 12]
OPENJPA-595;7;7;7;[]
OPENJPA-596;0;7;7;[null]
OPENJPA-597;7;7;8;[7]
OPENJPA-602;7;7;8;[7]
OPENJPA-605;0;7;13;[null]
OPENJPA-606;1;7;13;[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]
OPENJPA-607;0;8;8;[null]
OPENJPA-612;0;8;8;[null]
OPENJPA-614;0;8;8;[null]
OPENJPA-617;0;8;8;[null]
OPENJPA-619;7;8;9;[7, 8]
OPENJPA-622;8;8;13;[8, 9, 10, 11, 12]
OPENJPA-625;8;8;8;[]
OPENJPA-628;7;8;9;[7, 8]
OPENJPA-629;1;8;13;[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]
OPENJPA-630;8;8;8;[]
OPENJPA-632;8;8;8;[]
OPENJPA-634;8;8;8;[]
OPENJPA-637;8;8;8;[]
OPENJPA-642;0;8;8;[null]
OPENJPA-644;8;8;8;[]
OPENJPA-645;8;8;17;[8, 9, 10, 11, 12, 13, 14, 15, 16]
OPENJPA-646;1;8;10;[1, 2, 3, 4, 5, 6, 7, 8, 9]
OPENJPA-647;8;8;8;[]
OPENJPA-650;6;8;10;[6, 7, 8, 9]
OPENJPA-653;8;8;8;[]
OPENJPA-656;8;8;8;[]
OPENJPA-657;0;8;10;[null]
OPENJPA-659;8;8;8;[]
OPENJPA-660;8;8;8;[]
OPENJPA-662;0;8;17;[null]
OPENJPA-664;0;9;10;[null]
OPENJPA-665;0;9;9;[null]
OPENJPA-668;9;9;9;[]
OPENJPA-669;9;9;9;[]
OPENJPA-670;9;9;9;[]
OPENJPA-674;0;9;9;[null]
OPENJPA-676;9;9;9;[]
OPENJPA-678;7;9;10;[7, 8, 9]
OPENJPA-679;0;9;11;[null]
OPENJPA-680;9;9;17;[9, 10, 11, 12, 13, 14, 15, 16]
OPENJPA-685;0;9;10;[null]
OPENJPA-692;0;9;9;[null]
OPENJPA-693;0;10;10;[null]
OPENJPA-695;10;10;10;[]
OPENJPA-697;10;10;10;[]
OPENJPA-698;0;10;10;[null]
OPENJPA-699;4;10;17;[4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]
OPENJPA-700;0;10;10;[null]
OPENJPA-702;0;10;10;[null]
OPENJPA-705;0;10;10;[null]
OPENJPA-710;10;10;10;[]
OPENJPA-711;10;10;10;[]
OPENJPA-713;10;10;10;[]
OPENJPA-714;7;10;14;[7, 8, 9, 10, 11, 12, 13]
OPENJPA-715;10;10;10;[]
OPENJPA-719;10;10;10;[]
OPENJPA-724;10;10;10;[]
OPENJPA-727;0;10;10;[null]
OPENJPA-731;10;10;10;[]
OPENJPA-732;1;10;18;[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]
OPENJPA-745;10;10;10;[]
OPENJPA-750;0;10;10;[null]
OPENJPA-751;0;10;10;[null]
OPENJPA-755;0;10;10;[null]
OPENJPA-762;10;10;10;[]
OPENJPA-764;0;10;10;[null]
OPENJPA-774;10;10;10;[]
OPENJPA-777;9;10;11;[9, 10]
OPENJPA-787;10;10;10;[]
OPENJPA-792;10;10;10;[]
OPENJPA-794;10;10;17;[10, 11, 12, 13, 14, 15, 16]
OPENJPA-795;10;10;10;[]
OPENJPA-798;1;10;17;[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]
OPENJPA-799;10;10;17;[10, 11, 12, 13, 14, 15, 16]
OPENJPA-801;10;10;17;[10, 11, 12, 13, 14, 15, 16]
