TICKET ID ; IV ; OV ; FV ; AV 
AVRO-966;17;17;17;[]
AVRO-968;17;17;17;[]
AVRO-972;17;17;17;[]
AVRO-978;0;17;17;[null]
AVRO-980;17;17;17;[]
AVRO-984;17;17;17;[]
AVRO-986;0;17;17;[null]
AVRO-993;17;17;17;[]
AVRO-994;17;17;17;[]
AVRO-996;17;17;17;[]
AVRO-1000;0;17;17;[null]
AVRO-1002;0;17;17;[null]
AVRO-1003;17;17;17;[]
AVRO-1004;17;17;17;[]
AVRO-1007;17;17;17;[]
AVRO-1013;17;17;17;[]
AVRO-1014;0;17;17;[null]
AVRO-1016;17;17;17;[]
AVRO-1020;17;17;17;[]
AVRO-1021;0;17;17;[null]
AVRO-1027;16;17;18;[16, 17]
AVRO-1030;0;18;18;[null]
AVRO-1031;18;18;18;[]
AVRO-1033;18;18;18;[]
AVRO-1034;18;18;18;[]
AVRO-1036;18;18;18;[]
AVRO-1037;18;18;18;[]
AVRO-1038;18;18;18;[]
AVRO-1039;18;18;18;[]
AVRO-1041;18;18;18;[]
AVRO-1045;18;18;18;[]
