Dataset,#TrainingRelease,Classifier,Balancing,Feature Selection,Sensitivity,TP,FP,TN,FN,Precision,Recall,AUC,Kappa
BOOKKEEPER,2,RANDOM FOREST,SMOTE,NO,NO,215,11,181,57,0.9513274336283186,0.7904411764705882,0.9341873468137255,0.708197691624741,
BOOKKEEPER,3,RANDOM FOREST,SMOTE,NO,NO,417,31,166,4,0.9308035714285714,0.9904988123515439,0.9840119608859736,0.8646653235393489,
BOOKKEEPER,4,RANDOM FOREST,SMOTE,NO,NO,392,5,116,77,0.9874055415617129,0.835820895522388,0.8873636539850922,0.6508220621562711,
BOOKKEEPER,5,RANDOM FOREST,SMOTE,NO,NO,418,80,117,3,0.8393574297188755,0.9928741092636579,0.8026031807275402,0.65487868878931,
BOOKKEEPER,6,RANDOM FOREST,SMOTE,NO,NO,454,0,0,202,1.0,0.6920731707317073,NaN,0.0,
BOOKKEEPER,1,NAIVE BAYES,SMOTE,NO,NO,2,6,148,146,0.25,0.013513513513513514,0.8216040716040716,-0.025925263722510264,
BOOKKEEPER,2,NAIVE BAYES,SMOTE,NO,NO,108,14,178,164,0.8852459016393442,0.39705882352941174,0.8027630974264706,0.29073921406979947,
BOOKKEEPER,3,NAIVE BAYES,SMOTE,NO,NO,321,8,189,100,0.9756838905775076,0.7624703087885986,0.9130544871408418,0.6420887806866078,
BOOKKEEPER,4,NAIVE BAYES,SMOTE,NO,NO,330,7,114,139,0.9792284866468842,0.7036247334754797,0.8371601261696241,0.459713737345861,
BOOKKEEPER,5,NAIVE BAYES,SMOTE,NO,NO,390,115,82,31,0.7722772277227723,0.9263657957244655,0.8163184103596706,0.386446164098519,
BOOKKEEPER,6,NAIVE BAYES,SMOTE,NO,NO,415,0,0,241,1.0,0.6326219512195121,NaN,0.0,
BOOKKEEPER,1,IBK,SMOTE,NO,NO,130,19,135,18,0.87248322147651,0.8783783783783784,0.8745612495612496,0.7549023908751921,
BOOKKEEPER,2,IBK,SMOTE,NO,NO,180,9,183,92,0.9523809523809523,0.6617647058823529,0.8082203584558824,0.5781362523404869,
BOOKKEEPER,3,IBK,SMOTE,NO,NO,414,81,116,7,0.8363636363636363,0.9833729216152018,0.7890326392321882,0.635735240927541,
BOOKKEEPER,4,IBK,SMOTE,NO,NO,378,13,108,91,0.9667519181585678,0.8059701492537313,0.8478827820754551,0.5637149642354348,
BOOKKEEPER,5,IBK,SMOTE,NO,NO,403,96,101,18,0.8076152304609219,0.9572446555819477,0.7413337834742033,0.5252624627700435,
BOOKKEEPER,6,IBK,SMOTE,NO,NO,446,0,0,210,1.0,0.6798780487804879,NaN,0.0,
BOOKKEEPER,1,RANDOM FOREST,SMOTE,NO,SENSITIVE THRESHOLD,0,0,154,148,NaN,0.0,0.5,0.0,
BOOKKEEPER,2,RANDOM FOREST,SMOTE,NO,SENSITIVE THRESHOLD,59,0,192,213,1.0,0.21691176470588236,0.6084558823529411,0.1864875543263532,
BOOKKEEPER,3,RANDOM FOREST,SMOTE,NO,SENSITIVE THRESHOLD,11,0,197,410,1.0,0.026128266033254157,0.5130641330166271,0.0168170918149577,
BOOKKEEPER,4,RANDOM FOREST,SMOTE,NO,SENSITIVE THRESHOLD,6,0,121,463,1.0,0.01279317697228145,0.5063965884861408,0.005287267589632298,
BOOKKEEPER,5,RANDOM FOREST,SMOTE,NO,SENSITIVE THRESHOLD,137,23,174,284,0.85625,0.3254156769596199,0.6043322039620435,0.15428505201972015,
BOOKKEEPER,6,RANDOM FOREST,SMOTE,NO,SENSITIVE THRESHOLD,3,0,0,653,1.0,0.004573170731707317,NaN,0.0,
BOOKKEEPER,1,NAIVE BAYES,SMOTE,NO,SENSITIVE THRESHOLD,1,4,150,147,0.2,0.006756756756756757,0.4903913653913654,-0.019585923176675794,
BOOKKEEPER,2,NAIVE BAYES,SMOTE,NO,SENSITIVE THRESHOLD,89,1,191,183,0.9888888888888889,0.3272058823529412,0.6609987745098039,0.282602850228556,
BOOKKEEPER,3,NAIVE BAYES,SMOTE,NO,SENSITIVE THRESHOLD,3,2,195,418,0.6,0.007125890736342043,0.4984868032361913,-0.0019377899929745221,
BOOKKEEPER,4,NAIVE BAYES,SMOTE,NO,SENSITIVE THRESHOLD,89,6,115,380,0.9368421052631579,0.18976545842217485,0.5700893407813353,0.06529858403447564,
BOOKKEEPER,5,NAIVE BAYES,SMOTE,NO,SENSITIVE THRESHOLD,318,42,155,103,0.8833333333333333,0.7553444180522565,0.7710732242545547,0.5008856063897336,
BOOKKEEPER,6,NAIVE BAYES,SMOTE,NO,SENSITIVE THRESHOLD,11,0,0,645,1.0,0.01676829268292683,NaN,0.0,
BOOKKEEPER,1,IBK,SMOTE,NO,SENSITIVE THRESHOLD,127,19,135,21,0.8698630136986302,0.8581081081081081,0.8673657423657424,0.7349249539190731,
BOOKKEEPER,2,IBK,SMOTE,NO,SENSITIVE THRESHOLD,180,9,183,92,0.9523809523809523,0.6617647058823529,0.8074448529411765,0.5781362523404869,
BOOKKEEPER,3,IBK,SMOTE,NO,SENSITIVE THRESHOLD,414,81,116,7,0.8363636363636363,0.9833729216152018,0.7861027044624233,0.635735240927541,
BOOKKEEPER,4,IBK,SMOTE,NO,SENSITIVE THRESHOLD,378,13,108,91,0.9667519181585678,0.8059701492537313,0.8492660663624029,0.5637149642354348,
BOOKKEEPER,5,IBK,SMOTE,NO,SENSITIVE THRESHOLD,403,96,101,18,0.8076152304609219,0.9572446555819477,0.7349675054559485,0.5252624627700435,
BOOKKEEPER,6,IBK,SMOTE,NO,SENSITIVE THRESHOLD,446,0,0,210,1.0,0.6798780487804879,NaN,0.0,
BOOKKEEPER,1,RANDOM FOREST,SMOTE,NO,SENSITIVE LEARNING,23,0,154,125,1.0,0.1554054054054054,0.8829633204633205,0.15800508542623903,
BOOKKEEPER,2,RANDOM FOREST,SMOTE,NO,SENSITIVE LEARNING,18,0,192,254,1.0,0.0661764705882353,0.8660768995098039,0.05539882021031031,
BOOKKEEPER,3,RANDOM FOREST,SMOTE,NO,SENSITIVE LEARNING,44,0,197,377,1.0,0.10451306413301663,0.9614466402208905,0.0692547998178346,
BOOKKEEPER,4,RANDOM FOREST,SMOTE,NO,SENSITIVE LEARNING,111,0,121,358,1.0,0.23667377398720682,0.857627447179686,0.11282667316302789,
BOOKKEEPER,5,RANDOM FOREST,SMOTE,NO,SENSITIVE LEARNING,271,42,155,150,0.865814696485623,0.6437054631828979,0.8072090864149897,0.3757115949196595,
BOOKKEEPER,6,RANDOM FOREST,SMOTE,NO,SENSITIVE LEARNING,92,0,0,564,1.0,0.1402439024390244,NaN,0.0,
BOOKKEEPER,1,NAIVE BAYES,SMOTE,NO,SENSITIVE LEARNING,1,3,151,147,0.25,0.006756756756756757,0.8094726219726219,-0.012969588550983778,
BOOKKEEPER,2,NAIVE BAYES,SMOTE,NO,SENSITIVE LEARNING,146,34,158,126,0.8111111111111111,0.5367647058823529,0.7859126072303921,0.33600457927876354,
BOOKKEEPER,3,NAIVE BAYES,SMOTE,NO,SENSITIVE LEARNING,372,101,96,49,0.7864693446088795,0.8836104513064132,0.8228776058936301,0.3989340318752999,
BOOKKEEPER,4,NAIVE BAYES,SMOTE,NO,SENSITIVE LEARNING,307,63,58,162,0.8297297297297297,0.6545842217484008,0.6554124301749811,0.10273741128759718,
BOOKKEEPER,5,NAIVE BAYES,SMOTE,NO,SENSITIVE LEARNING,389,101,96,32,0.7938775510204081,0.9239904988123515,0.7949769101848391,0.4535627385020408,
BOOKKEEPER,6,NAIVE BAYES,SMOTE,NO,SENSITIVE LEARNING,382,0,0,274,1.0,0.5823170731707317,NaN,0.0,
BOOKKEEPER,1,IBK,SMOTE,NO,SENSITIVE LEARNING,120,24,130,28,0.8333333333333334,0.8108108108108109,0.8366751491751492,0.6553116769095698,
BOOKKEEPER,2,IBK,SMOTE,NO,SENSITIVE LEARNING,11,1,191,261,0.9166666666666666,0.04044117647058824,0.5066348805147058,0.029381706693919315,
BOOKKEEPER,3,IBK,SMOTE,NO,SENSITIVE LEARNING,395,38,159,26,0.9122401847575058,0.9382422802850356,0.8697686195546017,0.7576262669591755,
BOOKKEEPER,4,IBK,SMOTE,NO,SENSITIVE LEARNING,285,10,111,184,0.9661016949152542,0.6076759061833689,0.7590882658725264,0.34237288135593213,
BOOKKEEPER,5,IBK,SMOTE,NO,SENSITIVE LEARNING,398,96,101,23,0.805668016194332,0.9453681710213777,0.7186117173276101,0.5081526464333008,
BOOKKEEPER,6,IBK,SMOTE,NO,SENSITIVE LEARNING,357,0,0,299,1.0,0.5442073170731707,NaN,0.0,
BOOKKEEPER,1,RANDOM FOREST,NO,BEST FIRST,NO,138,25,129,10,0.8466257668711656,0.9324324324324325,0.9604027729027729,0.7685773087533389,
BOOKKEEPER,2,RANDOM FOREST,NO,BEST FIRST,NO,201,2,190,71,0.9901477832512315,0.7389705882352942,0.9400084252450981,0.6919831223628692,
BOOKKEEPER,3,RANDOM FOREST,NO,BEST FIRST,NO,419,8,189,2,0.9812646370023419,0.995249406175772,0.9931453995201177,0.9624384610709292,
BOOKKEEPER,4,RANDOM FOREST,NO,BEST FIRST,NO,392,3,118,77,0.9924050632911392,0.835820895522388,0.9116636416500731,0.6610412926391382,
BOOKKEEPER,5,RANDOM FOREST,NO,BEST FIRST,NO,418,79,118,3,0.8410462776659959,0.9928741092636579,0.8259763434896367,0.6595498824319785,
BOOKKEEPER,6,RANDOM FOREST,NO,BEST FIRST,NO,459,0,0,197,1.0,0.6996951219512195,NaN,0.0,
BOOKKEEPER,1,NAIVE BAYES,NO,BEST FIRST,NO,142,83,71,6,0.6311111111111111,0.9594594594594594,0.9205642330642331,0.41627937280111205,
BOOKKEEPER,2,NAIVE BAYES,NO,BEST FIRST,NO,190,12,180,82,0.9405940594059405,0.6985294117647058,0.8800647212009803,0.6036638557720267,
BOOKKEEPER,3,NAIVE BAYES,NO,BEST FIRST,NO,413,122,75,8,0.77196261682243,0.9809976247030879,0.9386341439888107,0.4275249754164943,
BOOKKEEPER,4,NAIVE BAYES,NO,BEST FIRST,NO,281,9,112,188,0.9689655172413794,0.5991471215351812,0.8761564080424324,0.3388133568462371,
BOOKKEEPER,5,NAIVE BAYES,NO,BEST FIRST,NO,399,122,75,22,0.7658349328214972,0.9477434679334917,0.8215452693007946,0.37973430726124596,
BOOKKEEPER,6,NAIVE BAYES,NO,BEST FIRST,NO,231,0,0,425,1.0,0.3521341463414634,NaN,0.0,
BOOKKEEPER,1,IBK,NO,BEST FIRST,NO,129,13,141,19,0.9084507042253521,0.8716216216216216,0.8939320814320815,0.7878282251690525,
BOOKKEEPER,2,IBK,NO,BEST FIRST,NO,198,5,187,74,0.9753694581280788,0.7279411764705882,0.8612515318627451,0.6666666666666667,
BOOKKEEPER,3,IBK,NO,BEST FIRST,NO,358,4,193,63,0.988950276243094,0.850356294536817,0.9246536527725864,0.7687978111564018,
BOOKKEEPER,4,IBK,NO,BEST FIRST,NO,392,3,118,77,0.9924050632911392,0.835820895522388,0.905513753546318,0.6610412926391382,
BOOKKEEPER,5,IBK,NO,BEST FIRST,NO,416,80,117,5,0.8387096774193549,0.9881235154394299,0.7963213041224062,0.647624669627165,
BOOKKEEPER,6,IBK,NO,BEST FIRST,NO,450,0,0,206,1.0,0.6859756097560976,NaN,0.0,
BOOKKEEPER,1,RANDOM FOREST,NO,BEST FIRST,SENSITIVE THRESHOLD,0,0,154,148,NaN,0.0,0.5,0.0,
BOOKKEEPER,2,RANDOM FOREST,NO,BEST FIRST,SENSITIVE THRESHOLD,0,0,192,272,NaN,0.0,0.5,0.0,
BOOKKEEPER,3,RANDOM FOREST,NO,BEST FIRST,SENSITIVE THRESHOLD,1,0,197,420,1.0,0.0023752969121140144,0.501187648456057,0.0015156527693361607,
BOOKKEEPER,4,RANDOM FOREST,NO,BEST FIRST,SENSITIVE THRESHOLD,28,0,121,441,1.0,0.05970149253731343,0.5298507462686567,0.025381509255860298,
BOOKKEEPER,5,RANDOM FOREST,NO,BEST FIRST,SENSITIVE THRESHOLD,285,44,153,136,0.8662613981762918,0.6769596199524941,0.7268046830726937,0.40348130114434644,
BOOKKEEPER,6,RANDOM FOREST,NO,BEST FIRST,SENSITIVE THRESHOLD,56,0,0,600,1.0,0.08536585365853659,NaN,0.0,
BOOKKEEPER,1,NAIVE BAYES,NO,BEST FIRST,SENSITIVE THRESHOLD,0,4,150,148,0.0,0.0,0.487012987012987,-0.02647584973166363,
BOOKKEEPER,2,NAIVE BAYES,NO,BEST FIRST,SENSITIVE THRESHOLD,0,2,190,272,0.0,0.0,0.4947916666666667,-0.008631632394008642,
BOOKKEEPER,3,NAIVE BAYES,NO,BEST FIRST,SENSITIVE THRESHOLD,2,3,194,419,0.4,0.004750593824228029,0.49476108371414446,-0.006708922326274426,
BOOKKEEPER,4,NAIVE BAYES,NO,BEST FIRST,SENSITIVE THRESHOLD,81,5,116,388,0.9418604651162791,0.17270788912579957,0.5656927875381064,0.06042580090930462,
BOOKKEEPER,5,NAIVE BAYES,NO,BEST FIRST,SENSITIVE THRESHOLD,18,3,194,403,0.8571428571428571,0.04275534441805225,0.5137634590110566,0.017872660231569495,
BOOKKEEPER,6,NAIVE BAYES,NO,BEST FIRST,SENSITIVE THRESHOLD,15,0,0,641,1.0,0.022865853658536585,NaN,0.0,
BOOKKEEPER,1,IBK,NO,BEST FIRST,SENSITIVE THRESHOLD,126,13,141,22,0.9064748201438849,0.8513513513513513,0.8834678834678835,0.76784537667472,
BOOKKEEPER,2,IBK,NO,BEST FIRST,SENSITIVE THRESHOLD,196,5,187,76,0.9751243781094527,0.7205882352941176,0.8472732843137255,0.6587243934330961,
BOOKKEEPER,3,IBK,NO,BEST FIRST,SENSITIVE THRESHOLD,348,4,193,73,0.9886363636363636,0.8266033254156769,0.9031493784438791,0.7375723818452544,
BOOKKEEPER,4,IBK,NO,BEST FIRST,SENSITIVE THRESHOLD,392,3,118,77,0.9924050632911392,0.835820895522388,0.905513753546318,0.6610412926391382,
BOOKKEEPER,5,IBK,NO,BEST FIRST,SENSITIVE THRESHOLD,416,80,117,5,0.8387096774193549,0.9881235154394299,0.7910160724405272,0.647624669627165,
BOOKKEEPER,6,IBK,NO,BEST FIRST,SENSITIVE THRESHOLD,450,0,0,206,1.0,0.6859756097560976,NaN,0.0,
BOOKKEEPER,1,RANDOM FOREST,NO,BEST FIRST,SENSITIVE LEARNING,0,0,154,148,NaN,0.0,0.9555984555984556,0.0,
BOOKKEEPER,2,RANDOM FOREST,NO,BEST FIRST,SENSITIVE LEARNING,0,0,192,272,NaN,0.0,0.9350681678921569,0.0,
BOOKKEEPER,3,RANDOM FOREST,NO,BEST FIRST,SENSITIVE LEARNING,1,0,197,420,1.0,0.0023752969121140144,0.9933262596910908,0.0015156527693361607,
BOOKKEEPER,4,RANDOM FOREST,NO,BEST FIRST,SENSITIVE LEARNING,2,0,121,467,1.0,0.0042643923240938165,0.896332975030397,0.0017535342410167378,
BOOKKEEPER,5,RANDOM FOREST,NO,BEST FIRST,SENSITIVE LEARNING,223,29,168,198,0.8849206349206349,0.5296912114014252,0.8212679503719691,0.3114121631571197,
BOOKKEEPER,6,RANDOM FOREST,NO,BEST FIRST,SENSITIVE LEARNING,7,0,0,649,1.0,0.010670731707317074,NaN,0.0,
BOOKKEEPER,1,NAIVE BAYES,NO,BEST FIRST,SENSITIVE LEARNING,1,5,149,147,0.16666666666666666,0.006756756756756757,0.9184143559143559,-0.02620048287579358,
BOOKKEEPER,2,NAIVE BAYES,NO,BEST FIRST,SENSITIVE LEARNING,0,2,190,272,0.0,0.0,0.8810221354166666,-0.008631632394008642,
BOOKKEEPER,3,NAIVE BAYES,NO,BEST FIRST,SENSITIVE LEARNING,3,3,194,418,0.5,0.007125890736342043,0.9606629128133403,-0.00519251721180374,
BOOKKEEPER,4,NAIVE BAYES,NO,BEST FIRST,SENSITIVE LEARNING,92,5,116,377,0.9484536082474226,0.19616204690831557,0.8815133306313767,0.0723346806391333,
BOOKKEEPER,5,NAIVE BAYES,NO,BEST FIRST,SENSITIVE LEARNING,325,43,154,96,0.8831521739130435,0.7719714964370546,0.8235106164920362,0.5167148627817222,
BOOKKEEPER,6,NAIVE BAYES,NO,BEST FIRST,SENSITIVE LEARNING,15,0,0,641,1.0,0.022865853658536585,NaN,0.0,
BOOKKEEPER,1,IBK,NO,BEST FIRST,SENSITIVE LEARNING,126,13,141,22,0.9064748201438849,0.8513513513513513,0.8939320814320815,0.76784537667472,
BOOKKEEPER,2,IBK,NO,BEST FIRST,SENSITIVE LEARNING,196,5,187,76,0.9751243781094527,0.7205882352941176,0.8612515318627451,0.6587243934330961,
BOOKKEEPER,3,IBK,NO,BEST FIRST,SENSITIVE LEARNING,348,4,193,73,0.9886363636363636,0.8266033254156769,0.9246536527725864,0.7375723818452544,
BOOKKEEPER,4,IBK,NO,BEST FIRST,SENSITIVE LEARNING,392,3,118,77,0.9924050632911392,0.835820895522388,0.905513753546318,0.6610412926391382,
BOOKKEEPER,5,IBK,NO,BEST FIRST,SENSITIVE LEARNING,416,80,117,5,0.8387096774193549,0.9881235154394299,0.7963213041224062,0.647624669627165,
BOOKKEEPER,6,IBK,NO,BEST FIRST,SENSITIVE LEARNING,450,0,0,206,1.0,0.6859756097560976,NaN,0.0,
BOOKKEEPER,1,RANDOM FOREST,UNDERSAMPLING,BEST FIRST,NO,137,17,137,11,0.8896103896103896,0.9256756756756757,0.956541769041769,0.8146427005699255,
BOOKKEEPER,2,RANDOM FOREST,UNDERSAMPLING,BEST FIRST,NO,211,7,185,61,0.9678899082568807,0.7757352941176471,0.9417987898284313,0.7099146807884672,
BOOKKEEPER,3,RANDOM FOREST,UNDERSAMPLING,BEST FIRST,NO,377,2,195,44,0.9947229551451188,0.8954869358669834,0.9969615491276511,0.8378156342351183,
BOOKKEEPER,4,RANDOM FOREST,UNDERSAMPLING,BEST FIRST,NO,313,3,118,156,0.990506329113924,0.6673773987206824,0.9161306807168408,0.43739429777740463,
BOOKKEEPER,5,RANDOM FOREST,UNDERSAMPLING,BEST FIRST,NO,300,40,157,121,0.8823529411764706,0.7125890736342043,0.8529486236540988,0.4593028942820812,
BOOKKEEPER,6,RANDOM FOREST,UNDERSAMPLING,BEST FIRST,NO,408,0,0,248,1.0,0.6219512195121951,NaN,0.0,
BOOKKEEPER,1,NAIVE BAYES,UNDERSAMPLING,BEST FIRST,NO,135,37,117,13,0.7848837209302325,0.9121621621621622,0.9051640926640927,0.669786564030791,
BOOKKEEPER,2,NAIVE BAYES,UNDERSAMPLING,BEST FIRST,NO,190,18,174,82,0.9134615384615384,0.6985294117647058,0.8797679227941176,0.5765186915887849,
BOOKKEEPER,3,NAIVE BAYES,UNDERSAMPLING,BEST FIRST,NO,391,52,145,30,0.8826185101580135,0.9287410926365796,0.930603952397603,0.6851366296770346,
BOOKKEEPER,4,NAIVE BAYES,UNDERSAMPLING,BEST FIRST,NO,367,6,115,102,0.9839142091152815,0.7825159914712153,0.8844208708523498,0.5662532503777926,
BOOKKEEPER,5,NAIVE BAYES,UNDERSAMPLING,BEST FIRST,NO,388,99,98,33,0.7967145790554415,0.9216152019002375,0.8034110228245536,0.46008339400357395,
BOOKKEEPER,6,NAIVE BAYES,UNDERSAMPLING,BEST FIRST,NO,422,0,0,234,1.0,0.6432926829268293,NaN,0.0,
BOOKKEEPER,1,IBK,UNDERSAMPLING,BEST FIRST,NO,126,12,142,22,0.9130434782608695,0.8513513513513513,0.8973543348543348,0.7744486424742992,
BOOKKEEPER,2,IBK,UNDERSAMPLING,BEST FIRST,NO,198,6,186,74,0.9705882352941176,0.7279411764705882,0.859375,0.6622015142690739,
BOOKKEEPER,3,IBK,UNDERSAMPLING,BEST FIRST,NO,341,2,195,80,0.9941690962099126,0.8099762470308789,0.9022691922784765,0.7236045509582975,
BOOKKEEPER,4,IBK,UNDERSAMPLING,BEST FIRST,NO,337,3,118,132,0.9911764705882353,0.7185501066098081,0.864649597349733,0.49712734389797353,
BOOKKEEPER,5,IBK,UNDERSAMPLING,BEST FIRST,NO,398,75,122,23,0.8414376321353065,0.9453681710213777,0.7836852068437489,0.6073035674918625,
BOOKKEEPER,6,IBK,UNDERSAMPLING,BEST FIRST,NO,379,0,0,277,1.0,0.5777439024390244,NaN,0.0,
BOOKKEEPER,1,RANDOM FOREST,UNDERSAMPLING,BEST FIRST,SENSITIVE THRESHOLD,1,0,154,147,1.0,0.006756756756756757,0.5033783783783784,0.006890072032571162,
BOOKKEEPER,2,RANDOM FOREST,UNDERSAMPLING,BEST FIRST,SENSITIVE THRESHOLD,0,0,192,272,NaN,0.0,0.5,0.0,
BOOKKEEPER,3,RANDOM FOREST,UNDERSAMPLING,BEST FIRST,SENSITIVE THRESHOLD,0,0,197,421,NaN,0.0,0.5,0.0,
BOOKKEEPER,4,RANDOM FOREST,UNDERSAMPLING,BEST FIRST,SENSITIVE THRESHOLD,0,0,121,469,NaN,0.0,0.5,0.0,
BOOKKEEPER,5,RANDOM FOREST,UNDERSAMPLING,BEST FIRST,SENSITIVE THRESHOLD,0,1,196,421,0.0,0.0,0.49746192893401014,-0.0032390345984289306,
BOOKKEEPER,6,RANDOM FOREST,UNDERSAMPLING,BEST FIRST,SENSITIVE THRESHOLD,0,0,0,656,NaN,0.0,NaN,0.0,
BOOKKEEPER,1,NAIVE BAYES,UNDERSAMPLING,BEST FIRST,SENSITIVE THRESHOLD,0,4,150,148,0.0,0.0,0.487012987012987,-0.02647584973166363,
BOOKKEEPER,2,NAIVE BAYES,UNDERSAMPLING,BEST FIRST,SENSITIVE THRESHOLD,0,2,190,272,0.0,0.0,0.4947916666666667,-0.008631632394008642,
BOOKKEEPER,3,NAIVE BAYES,UNDERSAMPLING,BEST FIRST,SENSITIVE THRESHOLD,2,3,194,419,0.4,0.004750593824228029,0.49476108371414446,-0.006708922326274426,
BOOKKEEPER,4,NAIVE BAYES,UNDERSAMPLING,BEST FIRST,SENSITIVE THRESHOLD,103,3,118,366,0.9716981132075472,0.21961620469083157,0.5974114081305397,0.09220171627290237,
BOOKKEEPER,5,NAIVE BAYES,UNDERSAMPLING,BEST FIRST,SENSITIVE THRESHOLD,94,8,189,327,0.9215686274509803,0.22327790973871733,0.5913343863414399,0.12767033244848944,
BOOKKEEPER,6,NAIVE BAYES,UNDERSAMPLING,BEST FIRST,SENSITIVE THRESHOLD,18,0,0,638,1.0,0.027439024390243903,NaN,0.0,
BOOKKEEPER,1,IBK,UNDERSAMPLING,BEST FIRST,SENSITIVE THRESHOLD,126,12,142,22,0.9130434782608695,0.8513513513513513,0.8867146367146367,0.7744486424742992,
BOOKKEEPER,2,IBK,UNDERSAMPLING,BEST FIRST,SENSITIVE THRESHOLD,196,6,186,76,0.9702970297029703,0.7205882352941176,0.8446691176470589,0.6542599592904914,
BOOKKEEPER,3,IBK,UNDERSAMPLING,BEST FIRST,SENSITIVE THRESHOLD,331,2,195,90,0.993993993993994,0.7862232779097387,0.8880354968228896,0.6936406841033268,
BOOKKEEPER,4,IBK,UNDERSAMPLING,BEST FIRST,SENSITIVE THRESHOLD,319,2,119,150,0.9937694704049844,0.6801705756929638,0.8318208250365645,0.45649143646743673,
BOOKKEEPER,5,IBK,UNDERSAMPLING,BEST FIRST,SENSITIVE THRESHOLD,398,75,122,23,0.8414376321353065,0.9453681710213777,0.7823287555614502,0.6073035674918625,
BOOKKEEPER,6,IBK,UNDERSAMPLING,BEST FIRST,SENSITIVE THRESHOLD,342,0,0,314,1.0,0.5213414634146342,NaN,0.0,
BOOKKEEPER,1,RANDOM FOREST,UNDERSAMPLING,BEST FIRST,SENSITIVE LEARNING,97,35,119,51,0.7348484848484849,0.6554054054054054,0.8252895752895753,0.4290362293352093,
BOOKKEEPER,2,RANDOM FOREST,UNDERSAMPLING,BEST FIRST,SENSITIVE LEARNING,154,22,170,118,0.875,0.5661764705882353,0.8416436887254902,0.42066210045662095,
BOOKKEEPER,3,RANDOM FOREST,UNDERSAMPLING,BEST FIRST,SENSITIVE LEARNING,341,58,139,80,0.8546365914786967,0.8099762470308789,0.8429711708887468,0.5006850036884813,
BOOKKEEPER,4,RANDOM FOREST,UNDERSAMPLING,BEST FIRST,SENSITIVE LEARNING,340,20,101,129,0.9444444444444444,0.7249466950959488,0.8670725475338773,0.41946774087036914,
BOOKKEEPER,5,RANDOM FOREST,UNDERSAMPLING,BEST FIRST,SENSITIVE LEARNING,317,46,151,104,0.8732782369146006,0.7529691211401425,0.8411143398000892,0.48173493005937407,
BOOKKEEPER,6,RANDOM FOREST,UNDERSAMPLING,BEST FIRST,SENSITIVE LEARNING,443,0,0,213,1.0,0.6753048780487805,NaN,0.0,
BOOKKEEPER,1,NAIVE BAYES,UNDERSAMPLING,BEST FIRST,SENSITIVE LEARNING,148,105,49,0,0.5849802371541502,1.0,0.7516453141453141,0.3138442896092093,
BOOKKEEPER,2,NAIVE BAYES,UNDERSAMPLING,BEST FIRST,SENSITIVE LEARNING,218,59,133,54,0.7870036101083032,0.8014705882352942,0.8352481617647058,0.4960787328925112,
BOOKKEEPER,3,NAIVE BAYES,UNDERSAMPLING,BEST FIRST,SENSITIVE LEARNING,373,94,103,48,0.7987152034261242,0.8859857482185273,0.7950130822190338,0.43590666580960336,
BOOKKEEPER,4,NAIVE BAYES,UNDERSAMPLING,BEST FIRST,SENSITIVE LEARNING,361,61,60,108,0.8554502369668247,0.7697228144989339,0.7284886077287706,0.2321376314938314,
BOOKKEEPER,5,NAIVE BAYES,UNDERSAMPLING,BEST FIRST,SENSITIVE LEARNING,387,80,117,34,0.828693790149893,0.9192399049881235,0.8105489709056272,0.5471363373401041,
BOOKKEEPER,6,NAIVE BAYES,UNDERSAMPLING,BEST FIRST,SENSITIVE LEARNING,454,0,0,202,1.0,0.6920731707317073,NaN,0.0,
BOOKKEEPER,1,IBK,UNDERSAMPLING,BEST FIRST,SENSITIVE LEARNING,122,55,99,26,0.6892655367231638,0.8243243243243243,0.7252106002106002,0.4654049565103369,
BOOKKEEPER,2,IBK,UNDERSAMPLING,BEST FIRST,SENSITIVE LEARNING,173,38,154,99,0.8199052132701422,0.6360294117647058,0.7109853707107843,0.4185570027806235,
BOOKKEEPER,3,IBK,UNDERSAMPLING,BEST FIRST,SENSITIVE LEARNING,331,60,137,90,0.8465473145780051,0.7862232779097387,0.7701508373825916,0.46290137548234583,
BOOKKEEPER,4,IBK,UNDERSAMPLING,BEST FIRST,SENSITIVE LEARNING,301,20,101,168,0.9376947040498442,0.6417910447761194,0.7454052053780683,0.3277657240518298,
BOOKKEEPER,5,IBK,UNDERSAMPLING,BEST FIRST,SENSITIVE LEARNING,404,79,118,17,0.8364389233954451,0.9596199524940617,0.7951879137176411,0.6096482570763095,
BOOKKEEPER,6,IBK,UNDERSAMPLING,BEST FIRST,SENSITIVE LEARNING,343,0,0,313,1.0,0.5228658536585366,NaN,0.0,
BOOKKEEPER,1,RANDOM FOREST,OVERSAMPLING,BEST FIRST,NO,138,34,120,10,0.8023255813953488,0.9324324324324325,0.9448929448929448,0.7094121763470961,
BOOKKEEPER,2,RANDOM FOREST,OVERSAMPLING,BEST FIRST,NO,200,24,168,72,0.8928571428571429,0.7352941176470589,0.8984853707107843,0.5886524822695036,
BOOKKEEPER,3,RANDOM FOREST,OVERSAMPLING,BEST FIRST,NO,417,49,148,4,0.8948497854077253,0.9904988123515439,0.9573049423056055,0.7897608380297058,
BOOKKEEPER,4,RANDOM FOREST,OVERSAMPLING,BEST FIRST,NO,372,12,109,97,0.96875,0.7931769722814499,0.8859539375143174,0.5505248885223445,
BOOKKEEPER,5,RANDOM FOREST,OVERSAMPLING,BEST FIRST,NO,356,62,135,65,0.8516746411483254,0.8456057007125891,0.811821020774805,0.5287428097942911,
