Dataset,#TrainingRelease,Classifier,Balancing,Feature Selection,Sensitivity,TP,FP,TN,FN,Precision,Recall,AUC,Kappa
BOOKKEEPER,6,RANDOM FOREST,NO,NO,SENSITIVE LEARNING,48,0,0,608,1.0,0.07317073170731707,NaN,0.0,
BOOKKEEPER,1,NAIVE BAYES,NO,NO,SENSITIVE LEARNING,1,4,150,147,0.2,0.006756756756756757,0.8264742014742015,-0.019585923176675794,
BOOKKEEPER,2,NAIVE BAYES,NO,NO,SENSITIVE LEARNING,1,1,191,271,0.5,0.003676470588235294,0.8069469975490197,-0.0012693577050013128,
BOOKKEEPER,3,NAIVE BAYES,NO,NO,SENSITIVE LEARNING,2,2,195,419,0.5,0.004750593824228029,0.9250696311658246,-0.0034556968860160213,
BOOKKEEPER,4,NAIVE BAYES,NO,NO,SENSITIVE LEARNING,87,6,115,382,0.9354838709677419,0.18550106609808104,0.840499392059772,0.06313178852938048,
BOOKKEEPER,5,NAIVE BAYES,NO,NO,SENSITIVE LEARNING,389,76,121,32,0.8365591397849462,0.9239904988123515,0.8178738078300397,0.5722032073222321,
BOOKKEEPER,6,NAIVE BAYES,NO,NO,SENSITIVE LEARNING,12,0,0,644,1.0,0.018292682926829267,NaN,0.0,
BOOKKEEPER,1,IBK,NO,NO,SENSITIVE LEARNING,127,20,134,21,0.8639455782312925,0.8581081081081081,0.8712925587925588,0.7283338452762297,
BOOKKEEPER,2,IBK,NO,NO,SENSITIVE LEARNING,176,9,183,96,0.9513513513513514,0.6470588235294118,0.7992876838235294,0.5626884963377854,
BOOKKEEPER,3,IBK,NO,NO,SENSITIVE LEARNING,414,83,114,7,0.8329979879275654,0.9833729216152018,0.7840288411685978,0.6263352368155861,
BOOKKEEPER,4,IBK,NO,NO,SENSITIVE LEARNING,378,17,104,91,0.9569620253164557,0.8059701492537313,0.8319529859556997,0.5424057450628366,
BOOKKEEPER,5,IBK,NO,NO,SENSITIVE LEARNING,403,100,97,18,0.8011928429423459,0.9572446555819477,0.7314467607943379,0.5056201103683919,
BOOKKEEPER,6,IBK,NO,NO,SENSITIVE LEARNING,446,0,0,210,1.0,0.6798780487804879,NaN,0.0,
BOOKKEEPER,1,RANDOM FOREST,UNDERSAMPLING,NO,NO,138,18,136,10,0.8846153846153846,0.9324324324324325,0.9543699543699544,0.8146914446002803,
